location_id,country,province_name,city_name,district_name,address_line1,postal_code
500001,CN,江苏,深圳,区1,示例路1号,200001
500002,CN,浙江,广州,区2,示例路2号,200002
500003,CN,四川,深圳,区3,示例路3号,200003
500004,CN,四川,北京,区4,示例路4号,200004
500005,CN,浙江,上海,区5,示例路5号,200005
500006,CN,江苏,北京,区6,示例路6号,200006
500007,CN,四川,苏州,区7,示例路7号,200007
500008,CN,浙江,上海,区8,示例路8号,200008
500009,CN,北京,上海,区9,示例路9号,200009
500010,CN,北京,杭州,区0,示例路10号,200010
500011,CN,上海,苏州,区1,示例路11号,200011
500012,CN,广东,苏州,区2,示例路12号,200012
500013,CN,江苏,苏州,区3,示例路13号,200013
500014,CN,广东,杭州,区4,示例路14号,200014
500015,CN,江苏,广州,区5,示例路15号,200015
500016,CN,江苏,苏州,区6,示例路16号,200016
500017,CN,北京,苏州,区7,示例路17号,200017
500018,CN,江苏,上海,区8,示例路18号,200018
500019,CN,浙江,北京,区9,示例路19号,200019
500020,CN,上海,广州,区0,示例路20号,200020
500021,CN,浙江,上海,区1,示例路21号,200021
500022,CN,浙江,广州,区2,示例路22号,200022
500023,CN,北京,杭州,区3,示例路23号,200023
500024,CN,北京,杭州,区4,示例路24号,200024
500025,CN,浙江,深圳,区5,示例路25号,200025
500026,CN,北京,深圳,区6,示例路26号,200026
500027,CN,广东,成都,区7,示例路27号,200027
500028,CN,广东,苏州,区8,示例路28号,200028
500029,CN,江苏,北京,区9,示例路29号,200029
500030,CN,江苏,成都,区0,示例路30号,200030
500031,CN,北京,成都,区1,示例路31号,200031
500032,CN,北京,杭州,区2,示例路32号,200032
500033,CN,北京,苏州,区3,示例路33号,200033
500034,CN,四川,苏州,区4,示例路34号,200034
500035,CN,四川,北京,区5,示例路35号,200035
500036,CN,江苏,上海,区6,示例路36号,200036
500037,CN,四川,北京,区7,示例路37号,200037
500038,CN,广东,苏州,区8,示例路38号,200038
500039,CN,四川,上海,区9,示例路39号,200039
500040,CN,江苏,广州,区0,示例路40号,200040
500041,CN,上海,上海,区1,示例路41号,200041
500042,CN,广东,成都,区2,示例路42号,200042
500043,CN,广东,上海,区3,示例路43号,200043
500044,CN,江苏,成都,区4,示例路44号,200044
500045,CN,江苏,北京,区5,示例路45号,200045
500046,CN,上海,广州,区6,示例路46号,200046
500047,CN,江苏,苏州,区7,示例路47号,200047
500048,CN,上海,广州,区8,示例路48号,200048
500049,CN,北京,上海,区9,示例路49号,200049
500050,CN,四川,北京,区0,示例路50号,200050
500051,CN,江苏,杭州,区1,示例路51号,200051
500052,CN,浙江,广州,区2,示例路52号,200052
500053,CN,浙江,苏州,区3,示例路53号,200053
500054,CN,北京,深圳,区4,示例路54号,200054
500055,CN,广东,上海,区5,示例路55号,200055
500056,CN,上海,深圳,区6,示例路56号,200056
500057,CN,四川,苏州,区7,示例路57号,200057
500058,CN,北京,杭州,区8,示例路58号,200058
500059,CN,北京,成都,区9,示例路59号,200059
500060,CN,江苏,北京,区0,示例路60号,200060
500061,CN,江苏,杭州,区1,示例路61号,200061
500062,CN,四川,成都,区2,示例路62号,200062
500063,CN,浙江,广州,区3,示例路63号,200063
500064,CN,北京,成都,区4,示例路64号,200064
500065,CN,上海,苏州,区5,示例路65号,200065
500066,CN,浙江,北京,区6,示例路66号,200066
500067,CN,上海,北京,区7,示例路67号,200067
500068,CN,北京,上海,区8,示例路68号,200068
500069,CN,广东,上海,区9,示例路69号,200069
500070,CN,江苏,成都,区0,示例路70号,200070
500071,CN,四川,上海,区1,示例路71号,200071
500072,CN,浙江,成都,区2,示例路72号,200072
500073,CN,四川,杭州,区3,示例路73号,200073
500074,CN,江苏,苏州,区4,示例路74号,200074
500075,CN,浙江,成都,区5,示例路75号,200075
500076,CN,北京,广州,区6,示例路76号,200076
500077,CN,北京,广州,区7,示例路77号,200077
500078,CN,上海,杭州,区8,示例路78号,200078
500079,CN,四川,北京,区9,示例路79号,200079
500080,CN,江苏,成都,区0,示例路80号,200080
500081,CN,广东,苏州,区1,示例路81号,200081
500082,CN,四川,深圳,区2,示例路82号,200082
500083,CN,北京,苏州,区3,示例路83号,200083
500084,CN,江苏,苏州,区4,示例路84号,200084
500085,CN,上海,杭州,区5,示例路85号,200085
500086,CN,四川,上海,区6,示例路86号,200086
500087,CN,北京,上海,区7,示例路87号,200087
500088,CN,江苏,上海,区8,示例路88号,200088
500089,CN,广东,广州,区9,示例路89号,200089
500090,CN,江苏,上海,区0,示例路90号,200090
500091,CN,北京,上海,区1,示例路91号,200091
500092,CN,浙江,上海,区2,示例路92号,200092
500093,CN,上海,杭州,区3,示例路93号,200093
500094,CN,浙江,广州,区4,示例路94号,200094
500095,CN,北京,上海,区5,示例路95号,200095
500096,CN,上海,成都,区6,示例路96号,200096
500097,CN,北京,广州,区7,示例路97号,200097
500098,CN,上海,广州,区8,示例路98号,200098
500099,CN,上海,成都,区9,示例路99号,200099
500100,CN,四川,北京,区0,示例路100号,200100
